"pair","trial","round","trial_nr","trial_id","task","target","director","participant","speech","onset","onset_msec","offset","offset_msec"
"025026","1.1_ref",1,"1",1,"ref",9,"B","A","*laugh*","00:00:02.314",2314,"00:00:02.555",2555
"025026","1.1_ref",1,"1",1,"ref",9,"B","B","ok jij moet hem dus raden","00:00:05.051",5051,"00:00:06.585",6585
"025026","1.1_ref",1,"1",1,"ref",9,"B","A","ja","00:00:06.604",6604,"00:00:06.840",6840
"025026","1.1_ref",1,"1",1,"ref",9,"B","B","um *exhale* *inhale* ja er zit een soort van l] het is een soort van kopje en daar zit een lepeltje in en een steeltje eraan en aan de bovenkant zit een","00:00:07.705",7705,"00:00:16.161",16161
"025026","1.1_ref",1,"1",1,"ref",9,"B","B","*inhale* half rondje *exhale* aan de onderkant is hij wat spitser ik vond het een beetje een koffiekopje","00:00:16.161",16161,"00:00:22.760",22760
"025026","1.1_ref",1,"1",1,"ref",9,"B","A","*laugh*","00:00:18.464",18464,"00:00:19.696",19696
"025026","1.1_ref",1,"1",1,"ref",9,"B","A","ok zit er iets aan de zijkanten?","00:00:24.516",24516,"00:00:26.230",26230
"025026","1.1_ref",1,"1",1,"ref",9,"B","B","ja aan de linkerkant zit een steeltje","00:00:26.930",26930,"00:00:28.570",28570
"025026","1.1_ref",1,"1",1,"ref",9,"B","A","*laugh*","00:00:29.442",29442,"00:00:29.890",29890
"025026","1.1_ref",1,"1",1,"ref",9,"B","A","uh en er zit uh er is maar één uitsteeksel zeg maar aan de bovenkant","00:00:30.309",30309,"00:00:33.320",33320
"025026","1.1_ref",1,"1",1,"ref",9,"B","B","*smack* ja","00:00:32.555",32555,"00:00:33.094",33094
"025026","1.1_ref",1,"1",1,"ref",9,"B","B","nee ja d] a] e] er is zeg maar één soort van *inhale* lepeltje denk ik en er is een half rondje aan de achterkant *inhale*","00:00:33.842",33842,"00:00:39.618",39618
"025026","1.1_ref",1,"1",1,"ref",9,"B","A","ok","00:00:40.413",40413,"00:00:40.901",40901
"025026","1.1_ref",1,"1",1,"ref",9,"B","A","ok dan ga ik voor #dertien#","00:00:47.755",47755,"00:00:48.922",48922
"025026","1.1_loc",1,"1",2,"loc",9,"B","B","um *inhale* hij is een beetje in het midden van het scherm maar dan onderin *smack* niet helemaal aan de onderkant","00:00:52.503",52503,"00:00:59.144",59144
"025026","1.1_loc",1,"1",2,"loc",9,"B","A","ok","00:00:56.871",56871,"00:00:57.365",57365
"025026","1.1_loc",1,"1",2,"loc",9,"B","B","um *smack* ja ik denk wel eigenlijk gewoon in het midden en *exhale* zeg maar één plaatje van de onderkant af ongeveer","00:01:01.026",61026,"00:01:08.508",68508
"025026","1.1_loc",1,"1",2,"loc",9,"B","A","ja dan denk ik dat hij op dezelde plek staat","00:01:08.198",68198,"00:01:10.373",70373
"025026","1.1_loc",1,"1",2,"loc",9,"B","B","ok zelfde is geel","00:01:10.356",70356,"00:01:13.404",73404
"025026","1.2_ref",1,"2",3,"ref",6,"A","A","top","00:01:14.978",74978,"00:01:15.276",75276
"025026","1.2_ref",1,"2",3,"ref",6,"A","A","ok um *microphone touch* aa hij heeft een beetje een neusje","00:01:16.091",76091,"00:01:20.860",80860
"025026","1.2_ref",1,"2",3,"ref",6,"A","A","uh dus a] eigenlijk een ovaal aan de voorkant of een beetje schuin aan de voorkant *inhale* en daar zit eigenlijk een ja stokje doorheen *inhale* en die heeft dan weer een rondje aan het uiteinde","00:01:20.860",80860,"00:01:30.063",90063
"025026","1.2_ref",1,"2",3,"ref",6,"A","B","hmhm","00:01:24.870",84870,"00:01:25.454",85454
"025026","1.2_ref",1,"2",3,"ref",6,"A","A","*smack* aan de bovenkant van het kopje *inhale* uh heb je eigenlijk weer dat lepeltje er zit verder ook niks aan de bovenkant *inhale* uh je ziet ook niks aan de achterkant","00:01:30.063",90063,"00:01:38.032",98032
"025026","1.2_ref",1,"2",3,"ref",6,"A","B","hmhm","00:01:36.028",96028,"00:01:36.574",96574
"025026","1.2_ref",1,"2",3,"ref",6,"A","B","ja hij heeft zeg maar dat stokje doorheen daar zit een cirkeltje aan","00:01:39.078",99078,"00:01:41.680",101680
"025026","1.2_ref",1,"2",3,"ref",6,"A","A","ja","00:01:41.581",101581,"00:01:42.100",102100
"025026","1.2_ref",1,"2",3,"ref",6,"A","B","ok dan","00:01:42.419",102419,"00:01:43.012",103012
"025026","1.2_ref",1,"2",3,"ref",6,"A","A","aan het uiteinde","00:01:42.619",102619,"00:01:43.474",103474
"025026","1.2_ref",1,"2",3,"ref",6,"A","B","dan is het #F#","00:01:43.502",103502,"00:01:44.677",104677
"025026","1.2_ref",1,"2",3,"ref",6,"A","B","um","00:01:45.677",105677,"00:01:46.593",106593
"025026","1.2_loc",1,"2",4,"loc",6,"A","A","ok hij zit uh aan de rechterkant van het scherm *inhale* en er kan eigenlijk zeg maar nog één plaatje naast *inhale* um hij staat weer ongeveer op midden","00:01:49.136",109136,"00:01:57.735",117735
